,sa_5hz,PGA,rot_lin,rot_nlin
21038,4.8228258,1.9678165,0.5315062,0.5315062
21039,8.9028039,4.63181,0.4953855,0.4953855
21040,7.859013,1.4021197,1.062191,1.20059
21041,5.2643965,2.305929,0.72452161,0.72452161
21042,4.0056403,1.1084701,0.44425881,0.44425881
21043,5.0193273,1.3244176,0.69579258,0.69579258
21044,0.55035831,0.40985911,0.11558595,0.11558595
21045,4.7924942,2.5910186,0.75811314,0.75811314
21046,3.5542573,1.7307343,0.35839619,0.35839619
21047,5.0095664,2.2638601,0.62243703,0.62243703
21048,19.505571,2.2665652,3.1582511,7.85708
21049,8.6003805,1.7450497,1.4952798,3.28465
21050,5.7930268,1.6886294,0.61380265,0.61380265
21051,12.650315,2.0577709,1.9853984,5.98069
21052,5.5804714,0.69024389,0.80156351,0.80156351
21053,20.055481,4.2092479,2.0417691,6.81959
21054,0.5370409,0.20836669,0.13452946,0.13452946
21055,5.5162194,1.6464451,0.96400865,0.96400865
21056,2.6445715,0.44743701,0.3556602,0.3556602
21057,3.6299398,0.71486552,0.44053762,0.44053762
21058,2.2461496,0.78789274,0.36696331,0.36696331
21059,4.492705,1.8985348,0.49609698,0.49609698
21060,1.6956898,0.86795237,0.26407288,0.26407288
21061,8.8696938,1.899471,0.75456885,0.75456885
21062,28.997552,6.2195017,4.2577099,7.58959
21063,7.3056713,2.0934659,0.71461934,0.71461934
21064,22.723113,5.8831004,2.6499904,5.36774
21065,3.502025,0.9626908,0.38369468,0.38369468
21066,4.1429476,1.3320551,0.63202388,0.63202388
21067,1.9785982,1.797837,0.24568884,0.24568884
21068,6.3209598,1.5170498,0.50854484,0.50854484
21069,2.4612843,1.9605203,0.301455,0.301455
21070,1.4690659,0.40397178,0.2564462,0.2564462
21071,5.0077504,2.1409562,0.61442423,0.61442423
21072,20.057612,5.2960782,1.2875067,1.82632
21073,3.5813656,0.79074318,0.564318,0.564318
21074,0.59126443,0.55946722,0.15569727,0.15569727
21075,2.6798541,0.67305887,0.46064812,0.46064812
21076,4.4375207,1.5392107,0.62214615,0.62214615
21077,4.7963618,2.1072608,0.48975053,0.48975053
21078,10.596173,2.6764725,1.2212167,2.02136
21079,1.3838919,0.33106968,0.26184768,0.26184768
21080,8.6257931,1.3493652,1.3076972,1.09891
21081,7.1380691,1.7440525,0.75672557,0.75672557
21082,19.284771,4.9945505,1.8484242,5.72153
21083,3.084731,0.52545213,0.43605963,0.43605963
21084,3.0994252,1.2544337,0.45129544,0.45129544
21085,4.3697037,1.5251417,0.7455194,0.7455194
21086,0.34565739,0.082285005,0.12729233,0.12729233
21087,4.6645005,0.75271829,0.66496603,0.66496603
21088,4.7852339,0.86646447,0.49217906,0.49217906
21089,24.512528,7.3076297,1.8920667,5.84936
21090,2.347432,0.43212212,0.38716447,0.38716447
21091,6.2552066,2.2246061,0.90560021,0.90560021
21092,3.845874,1.6416742,0.39198477,0.39198477
21093,3.3297835,0.91816181,0.47643945,0.47643945
21094,0.0037834139,0.00511591,0.080082466,0.080082466
21095,0.37969042,0.17594229,0.11878956,0.11878956
21096,4.9054196,1.6487822,0.669289,0.669289
21097,4.6714347,1.0746389,0.51710723,0.51710723
21098,8.1880108,1.1793946,1.0692213,1.22733
21099,4.0687538,0.81531148,0.59128143,0.59128143
21100,5.955153,0.65694112,1.1291718,1.59512
21101,3.2015775,0.81187932,0.38548549,0.38548549
21102,6.0209021,1.3967547,0.70453225,0.70453225
21103,5.2305535,3.0370923,0.68329328,0.68329328
21104,2.8585692,0.73852147,0.38803532,0.38803532
21105,2.1263711,0.62120048,0.24215387,0.24215387
21106,6.0471771,1.2183941,0.85199272,0.85199272
21107,8.485915,1.5829385,1.3444623,2.38205
21108,0.99660683,0.35671805,0.17354086,0.17354086
21109,2.0958475,0.77668571,0.31573756,0.31573756
21110,2.9065258,0.48521067,0.48497837,0.48497837
21111,2.4543944,1.0876728,0.32275646,0.32275646
21112,2.9782027,1.0841762,0.46741673,0.46741673
21113,10.623534,1.9457294,1.3814672,3.18277
21114,5.8974724,2.7388156,0.6933883,0.6933883
21115,2.1524879,1.0712238,0.2974796,0.2974796
21116,1.8270189,0.54382908,0.27617687,0.27617687
21117,12.741178,1.2426688,2.0690624,6.28946
21118,5.3206185,1.5388532,0.77356429,0.77356429
21119,3.8770973,0.89920632,0.59258758,0.59258758
21120,11.554638,1.9552058,1.6462013,4.06632
21121,2.0484764,0.42926724,0.39470282,0.39470282
21122,7.1668265,1.0657654,0.84406054,0.84406054
21123,8.2266193,4.1106,1.0145265,1.0145265
21124,19.793413,2.9953394,2.9684444,7.56664
21125,12.456184,2.3026094,1.4400803,2.93855
21126,9.0536101,2.4097042,0.81571167,0.81571167
21127,2.4995993,0.55878101,0.3658078,0.3658078
21128,7.4859818,0.9954443,1.2057602,1.96582
21129,1.6442328,0.78540955,0.24063648,0.24063648
21130,3.3417198,1.9930859,0.26960043,0.26960043
21131,10.213326,1.9539791,1.000005,1.000005
21132,1.3533094,1.1150281,0.22880788,0.22880788
21133,3.9397437,1.0717714,0.49285129,0.49285129
21134,6.543456,0.7192369,0.79694594,0.79694594
21135,11.211,2.273085,1.879517,5.54298
21136,0.79070481,0.23261582,0.16145091,0.16145091
21137,5.0548426,1.3056737,0.85863516,0.85863516
21138,4.7948273,1.688731,0.77442317,0.77442317
21139,9.0910136,3.1734127,0.76297743,0.76297743
21140,20.397046,5.4382975,2.5621496,7.76409
21141,2.1167086,0.58116665,0.27544921,0.27544921
21142,3.0633076,0.64380286,0.42662742,0.42662742
21143,2.5392328,1.4919956,0.30857974,0.30857974
21144,1.7183139,0.71172576,0.17774757,0.17774757
21145,21.442519,5.1798491,3.4248403,8.16838
21146,2.5980589,0.61874148,0.30085658,0.30085658
21147,28.889057,5.7015626,3.5475996,7.76908
21148,3.1394391,0.45102727,0.48830194,0.48830194
21149,2.2925542,1.2029893,0.4096837,0.4096837
21150,8.5545425,0.81072421,1.3881631,2.00475
21151,5.286686,1.0545591,0.85434519,0.85434519
21152,7.7368806,1.7002211,1.0284757,1.0284757
21153,0.78123367,0.16749884,0.16771284,0.16771284
21154,0.41101966,0.11920054,0.14043041,0.14043041
21155,2.4630476,0.32976223,0.36089368,0.36089368
21156,2.8857299,0.87914068,0.29656817,0.29656817
21157,1.8813845,1.0389965,0.27550274,0.27550274
21158,4.1997406,1.7108342,0.49181724,0.49181724
21159,0.17257435,0.16598749,0.099154186,0.099154186
21160,11.59098,1.4886125,1.7917204,4.87927
21161,18.844041,5.643354,1.2236969,1.97904
21162,0.29650778,0.19156305,0.11822678,0.11822678
21163,3.7419704,0.65754863,0.66970508,0.66970508
21164,1.7639818,0.62712156,0.32807635,0.32807635
21165,10.106212,4.1014544,1.3111879,1.67242
21166,1.8432918,1.8572707,0.24182665,0.24182665
21167,0.10493279,0.025360234,0.089975767,0.089975767
21168,4.8801274,0.79336003,0.83303258,0.83303258
21169,0.96165687,0.32804456,0.22886786,0.22886786
21170,10.81311,1.3253455,1.4142489,3.13725
21171,13.265815,6.0432864,1.4876701,3.12002
21172,3.1021562,1.0439576,0.46146587,0.46146587
21173,3.1112839,1.9447737,0.48113995,0.48113995
21174,8.3288417,2.0030534,1.3426377,1.41724
21175,3.4580527,0.90065564,0.38341093,0.38341093
21176,19.604384,4.7195044,2.7939537,7.77308
21177,16.743858,2.8843525,1.7402918,5.92256
21178,6.799357,1.4571285,1.0831686,0.446465
21179,2.0540452,0.4140505,0.33626198,0.33626198
21180,22.980251,5.6701252,2.886906,7.34452
21181,2.1727738,0.82295644,0.40159865,0.40159865
21182,10.973114,1.3906865,1.5659149,4.26934
21183,2.6696139,0.63569748,0.43012888,0.43012888
21184,4.8962222,1.8787602,0.74829116,0.74829116
21185,11.594505,3.6375919,1.056176,1.18279
21186,2.5869905,1.0647203,0.34792226,0.34792226
21187,0.6377198,0.2084117,0.15021538,0.15021538
21188,3.2803316,4.2407271,0.44892413,0.44892413
21189,4.9248681,1.2445358,0.84945293,0.84945293
21190,6.8299788,2.1631124,0.8387009,0.8387009
21191,11.015757,4.5081097,1.7953355,4.98296
21192,6.8190122,0.85792041,0.99000577,0.99000577
21193,0.98750603,0.31159188,0.16388134,0.16388134
21194,3.6234904,1.0853798,0.55369673,0.55369673
21195,9.8214147,2.0552499,0.9852091,0.9852091
21196,3.4233018,1.0673627,0.54191418,0.54191418
21197,1.4217787,0.37305512,0.26298518,0.26298518
21198,0.61565038,0.1090296,0.18346301,0.18346301
21199,0.92812017,0.3754112,0.16049356,0.16049356
21200,4.9371025,0.84080558,0.86772001,0.86772001
21201,4.2573589,2.7594887,0.45668084,0.45668084
21202,4.7896762,1.2791648,0.76325058,0.76325058
21203,5.6001904,1.2522507,0.77173669,0.77173669
21204,2.9707699,1.064171,0.31063974,0.31063974
21205,14.932165,2.6237938,2.6150145,5.565
21206,1.7068134,0.93721354,0.29340027,0.29340027
21207,0.99179185,0.22342971,0.23408712,0.23408712
21208,3.6923851,0.79503875,0.53788398,0.53788398
21209,2.0707388,0.41119626,0.20840226,0.20840226
21210,15.940721,2.7289315,2.1953618,6.40065
21211,8.9356562,1.4549698,1.5366056,3.45044
21212,2.9935498,0.47563908,0.43207783,0.43207783
21213,1.7812422,0.91146313,0.23076404,0.23076404
21214,1.303922,0.40511095,0.25462887,0.25462887
21215,2.373522,0.58482353,0.28703712,0.28703712
21216,14.589457,3.1713922,1.5030139,3.36821
21217,11.485133,4.4747647,0.88523015,0.88523015
21218,4.6105062,1.9331072,0.49609474,0.49609474
21219,4.979632,0.66972896,0.92926734,0.92926734
21220,1.6029464,0.70611113,0.32420763,0.32420763
21221,7.2963623,2.6466124,0.93302011,0.93302011
21222,0.72864159,0.2649465,0.18929512,0.18929512
21223,7.1761748,0.72440428,1.2530619,1.06235
21224,19.648261,2.4761189,2.1872342,6.82898
21225,0.13720265,0.048803778,0.089751085,0.089751085
21226,1.0442416,0.22977707,0.21577314,0.21577314
21227,1.9258751,1.0321583,0.30869675,0.30869675
21228,24.446983,3.3544688,3.7396236,8.34685
21229,4.4224634,2.2224796,0.50872843,0.50872843
21230,5.2068429,2.7608589,0.489216,0.489216
21231,0.96428985,0.36706294,0.178817,0.178817
21232,2.7771886,1.3811221,0.36514423,0.36514423
21233,3.1807466,1.0054767,0.40935597,0.40935597
21234,0.69924586,0.31692488,0.19098153,0.19098153
21235,11.280786,3.0134011,1.858673,1.12946
21236,17.622986,3.947337,1.8900158,5.75884
21237,4.9466932,1.0487726,0.56806683,0.56806683
21238,0.14209104,0.15377667,0.096406994,0.096406994
21239,1.8528438,0.62442042,0.21380091,0.21380091
21240,2.7228082,0.51613863,0.3226226,0.3226226
21241,7.7680681,1.8733952,0.92926034,0.92926034
21242,8.8079461,2.1117649,1.0372175,1.0372175
21243,7.0825981,0.92844306,0.93894251,0.93894251
21244,11.009057,1.7498365,1.2516981,2.0281
21245,2.4764859,1.2411385,0.28726832,0.28726832
21246,17.497367,5.1711185,1.5895735,3.4948
21247,15.724597,5.540776,2.087174,3.64304
21248,5.7863758,0.60985365,0.94504738,0.94504738
21249,7.3142081,1.8760079,1.1795455,1.62929
